date;cacheSize;maxPlyCount;totalNbOfRollOut;averageMateRatio;speed;elapsedTime;message
2019-12-05;20000;120;20000;8.735;4950;35287509645;max ply count : 120 | average ratio for 20k rollouts ending with mate : 8,7% in 35 sec => 4950 mate/sec
2019-12-05;20000;140;20000;14.739999999999998;7763;37973380579;max ply count : 140 | average ratio for 20k rollouts ending with mate : 14,7% in 37 sec => 7763 mate/sec
2019-12-05;20000;160;20000;21.689999999999998;10271;42234906495;max ply count : 160 | average ratio for 20k rollouts ending with mate : 21,7% in 42 sec => 10271 mate/sec
2019-12-05;20000;180;20000;30.075000000000006;13596;44239762963;max ply count : 180 | average ratio for 20k rollouts ending with mate : 30,1% in 44 sec => 13596 mate/sec
2019-12-05;20000;200;20000;40.754999999999995;17915;45497176733;max ply count : 200 | average ratio for 20k rollouts ending with mate : 40,8% in 45 sec => 17915 mate/sec
2019-12-05;20000;200;20000;40.5;17097;47375859598;max ply count : 200 | average ratio for 20k rollouts ending with mate : 40,5% in 47 sec => 17097 mate/sec
2019-12-05;20000;220;20000;51.785000000000004;24881;41625046237;max ply count : 220 | average ratio for 20k rollouts ending with mate : 51,8% in 41 sec => 24881 mate/sec
2019-12-05;20000;240;20000;62.27;28717;43366900481;max ply count : 240 | average ratio for 20k rollouts ending with mate : 62,3% in 43 sec => 28717 mate/sec
2019-12-05;20000;260;20000;71.67999999999999;33837;42366766578;max ply count : 260 | average ratio for 20k rollouts ending with mate : 71,7% in 42 sec => 33837 mate/sec
2019-12-05;20000;280;20000;79.12;31842;49695078362;max ply count : 280 | average ratio for 20k rollouts ending with mate : 79,1% in 49 sec => 31842 mate/sec
2019-12-05;20000;250;20000;67.32499999999999;27226;49454672179;max ply count : 250 | average ratio for 20k rollouts ending with mate : 67,3% in 49 sec => 27226 mate/sec
2019-12-05;20000;260;20000;71.52000000000001;33018;43321476333;max ply count : 260 | average ratio for 20k rollouts ending with mate : 71,5% in 43 sec => 33018 mate/sec
2019-12-05;20000;270;20000;75.17999999999998;35171;42750544179;max ply count : 270 | average ratio for 20k rollouts ending with mate : 75,2% in 42 sec => 35171 mate/sec
2019-12-05;20000;280;20000;78.89500000000001;36645;43058522867;max ply count : 280 | average ratio for 20k rollouts ending with mate : 78,9% in 43 sec => 36645 mate/sec
2019-12-05;20000;270;39000;76.1051282051282;39627;74899248522;max ply count : 270 | average ratio for 39k rollouts ending with mate : 76,1% in 74 sec => 39627 mate/sec
2019-12-05;20000;280;39000;79.86666666666665;34534;90193707995;max ply count : 280 | average ratio for 39k rollouts ending with mate : 79,9% in 90 sec => 34534 mate/sec
2019-12-05;20000;290;39000;82.07435897435897;39928;80166376548;max ply count : 290 | average ratio for 39k rollouts ending with mate : 82,1% in 80 sec => 39928 mate/sec
2019-12-05;20000;270;20000;75.605;29971;50451284007;max ply count : 270 | average ratio for 20k rollouts ending with mate : 75,6% in 50 sec => 29971 mate/sec
2019-12-05;30000;270;20000;75.775;33579;45131310685;max ply count : 270 | average ratio for 20k rollouts ending with mate : 75,8% in 45 sec => 33579 mate/sec
2019-12-05;40000;270;20000;74.98500000000001;34551;43404646019;max ply count : 270 | average ratio for 20k rollouts ending with mate : 75,0% in 43 sec => 34551 mate/sec
2019-12-05;50000;270;20000;74.94499999999998;33740;44424441806;max ply count : 270 | average ratio for 20k rollouts ending with mate : 74,9% in 44 sec => 33740 mate/sec
2019-12-05;40000;270;191000;76.81675392670157;34376;426803971090;max ply count : 270 | average ratio for 191k rollouts ending with mate : 76,8% in 426 sec => 34376 mate/sec
2019-12-05;40000;270;20000;75.59;29253;51679434159;max ply count : 270 | average ratio for 20k rollouts ending with mate : 75,6% in 51 sec => 29253 mate/sec
2019-12-05;40000;270;20000;75.17999999999999;28679;52428012535;max ply count : 270 | average ratio for 20k rollouts ending with mate : 75,2% in 52 sec => 28679 mate/sec
2019-12-05;40000;270;20000;74.98999999999998;29735;50438481457;max ply count : 270 | average ratio for 20k rollouts ending with mate : 75,0% in 50 sec => 29735 mate/sec
2019-12-06;40000;270;20000;75.32000000000001;29254;51492447957;max ply count : 270 | average ratio for 20k rollouts ending with mate : 75,3% in 51 sec => 29254 mate/sec
2019-12-06;40000;270;20000;75.92;29504;51462989016;max ply count : 270 | average ratio for 20k rollouts ending with mate : 75,9% in 51 sec => 29504 mate/sec
2019-12-06;40000;270;20000;14.834999999999999;5401;54929103052;max ply count : 270 | average ratio for 20k rollouts ending with mate : 14,8% in 54 sec => 5401 mate/sec
2019-12-06;40000;270;40000;79.95;37471;85345618927;max ply count : 270 | average ratio for 40k rollouts ending with mate : 80,0% in 85 sec => 37471 mate/sec
2019-12-06;40000;270;40000;80.1975;33522;95692791634;max ply count : 270 | average ratio for 40k rollouts ending with mate : 80,2% in 95 sec => 33522 mate/sec
2019-12-06;40000;270;40000;80.16249999999998;36945;86788940502;max ply count : 270 | average ratio for 40k rollouts ending with mate : 80,2% in 86 sec => 36945 mate/sec
2019-12-08;40000;270;40000;80.1;33697;95079847418;max ply count : 270 | average ratio for 40k rollouts ending with mate : 80,1% in 95 sec => 33697 mate/sec
2019-12-08;40000;270;40000;90.25750000000002;42405;85137486473;max ply count : 270 | average ratio for 40k rollouts ending with mate : 90,3% in 85 sec => 42405 mate/sec
2019-12-15;40000;270;40000;89.77000000000001;31709;113240988528;max ply count : 270 | average ratio for 40k rollouts ending with mate : 89,8% in 113 sec => 31709 mate/sec
